City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.42,19.23,57.99,86,74,6.78,broken clouds
1,Mogadishu,SO,2.04,45.34,80.31,77,65,8.34,broken clouds
2,Katsuura,JP,35.13,140.3,66.0,59,0,11.41,clear sky
3,Dikson,RU,73.51,80.55,5.68,95,100,24.72,overcast clouds
4,Harper,LR,4.38,-7.72,77.4,86,17,6.2,light rain
5,Bluff,NZ,-46.6,168.33,64.99,62,98,10.0,light rain
6,Punta Arenas,CL,-53.15,-70.92,39.2,80,40,24.16,scattered clouds
7,Chokurdakh,RU,70.63,147.92,-17.59,89,32,3.98,scattered clouds
8,Kingsport,US,36.55,-82.56,46.0,75,1,0.67,clear sky
9,Mahebourg,MU,-20.41,57.7,73.4,94,75,3.36,shower rain
10,Salalah,OM,17.02,54.09,73.4,69,0,5.82,clear sky
11,Okmulgee,US,35.62,-95.96,55.4,66,75,8.05,broken clouds
12,Saint George,US,37.1,-113.58,51.8,29,1,4.7,clear sky
13,Gayeri,BF,12.65,0.49,70.66,23,0,9.15,clear sky
14,Jamestown,US,42.1,-79.24,42.01,80,90,9.17,overcast clouds
15,Port Alfred,ZA,-33.59,26.89,67.57,73,6,22.39,clear sky
16,Chengde,CN,40.97,117.94,51.35,46,90,1.7,overcast clouds
17,Moen,NO,69.13,18.61,21.2,92,36,24.16,scattered clouds
18,Avarua,CK,-21.21,-159.78,78.8,69,45,5.82,scattered clouds
19,Raudeberg,NO,61.99,5.14,50.0,76,96,20.8,light intensity shower rain
20,New Norfolk,AU,-42.78,147.06,69.01,51,78,4.0,broken clouds
21,Rikitea,PF,-23.12,-134.97,75.61,83,19,10.98,few clouds
22,Bereda,ES,43.27,-7.54,53.01,89,94,3.0,overcast clouds
23,Faanui,PF,-16.48,-151.75,80.17,72,13,4.83,few clouds
24,Pangody,RU,65.85,74.49,-9.31,91,8,3.36,clear sky
25,Mount Vernon,US,40.91,-73.84,50.0,71,1,4.7,clear sky
26,Vaini,TO,-21.2,-175.2,82.4,74,20,8.05,few clouds
27,Qaanaaq,GL,77.48,-69.36,0.18,76,57,5.59,broken clouds
28,Katesh,TZ,-4.52,35.38,61.11,90,60,5.86,broken clouds
29,Tuktoyaktuk,CA,69.45,-133.04,-0.4,84,90,18.34,light snow
30,Abnub,EG,27.27,31.15,55.4,71,0,11.41,clear sky
31,Kapaa,US,22.08,-159.32,78.8,78,90,16.11,overcast clouds
32,Magdagachi,RU,53.45,125.8,23.31,96,100,2.86,overcast clouds
33,Husavik,IS,66.04,-17.34,28.4,86,90,12.48,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,41.0,90,20,20.8,few clouds
35,Dillon,US,34.42,-79.37,60.01,100,1,7.02,clear sky
36,Yellowknife,CA,62.46,-114.35,3.2,77,90,9.17,light snow
37,Talnakh,RU,69.49,88.4,-22.0,74,0,1.74,clear sky
38,Tiksi,RU,71.69,128.87,-6.18,92,96,3.29,overcast clouds
39,Roma,US,43.21,-75.46,44.6,75,90,3.36,light rain
40,Ambon,ID,-3.7,128.18,82.0,12,65,4.14,broken clouds
41,Puerto Ayora,EC,-0.74,-90.35,68.0,93,69,3.0,broken clouds
42,Busselton,AU,-33.65,115.33,70.0,52,28,19.48,scattered clouds
43,Coihaique,CL,-45.58,-72.07,48.2,83,0,6.93,clear sky
44,Banjar,ID,-8.19,114.97,87.8,70,40,11.41,scattered clouds
45,Dodoma,TZ,-6.17,35.74,69.8,83,75,11.41,broken clouds
46,Camacha,PT,33.08,-16.33,69.8,94,40,13.87,scattered clouds
47,Rajura,IN,19.78,79.37,78.89,55,0,4.68,clear sky
48,Guanica,PR,17.97,-66.91,73.0,91,54,7.27,broken clouds
49,Hilo,US,19.73,-155.09,75.2,83,90,4.7,overcast clouds
50,Saint-Augustin,CA,51.23,-58.65,33.48,83,78,3.53,broken clouds
51,Maragogi,BR,-9.01,-35.22,76.33,85,68,8.75,broken clouds
52,Atuona,PF,-9.8,-139.03,77.54,77,38,16.75,scattered clouds
53,Bayshore Gardens,US,27.43,-82.59,75.0,88,1,6.93,clear sky
54,Pa Sang,TH,18.53,98.94,82.0,61,20,5.82,few clouds
55,Hamilton,US,39.18,-84.53,39.2,80,1,3.36,clear sky
56,Palmer,US,42.16,-72.33,39.0,100,90,4.72,fog
57,Albany,US,42.6,-73.97,44.01,99,37,5.53,scattered clouds
58,Cape Town,ZA,-33.93,18.42,62.01,72,75,6.93,broken clouds
59,Kavaratti,IN,10.57,72.64,81.36,81,99,7.49,overcast clouds
60,Touros,BR,-5.2,-35.46,77.0,94,40,4.7,scattered clouds
61,Deputatskiy,RU,69.3,139.9,-13.04,88,0,1.83,clear sky
62,Ca Mau,VN,9.18,105.15,87.73,55,87,6.4,overcast clouds
63,Gao,ML,16.64,1.64,68.85,23,0,13.29,clear sky
64,Necochea,AR,-38.55,-58.74,64.0,92,100,1.01,light rain
65,Bilma,NE,18.69,12.92,67.44,33,0,15.75,clear sky
66,Charters Towers,AU,-20.1,146.27,97.57,21,69,1.36,broken clouds
67,Sao Filipe,CV,14.9,-24.5,79.88,68,12,4.99,few clouds
68,Mataura,NZ,-46.19,168.86,64.99,60,94,11.99,overcast clouds
69,Vila Franca Do Campo,PT,37.72,-25.43,64.4,88,40,6.93,scattered clouds
70,Orotukan,RU,62.27,151.7,-4.99,87,99,1.32,overcast clouds
71,Khatanga,RU,71.97,102.5,-16.19,89,99,8.21,overcast clouds
72,Samandag,TR,36.08,35.98,48.2,100,100,2.24,overcast clouds
73,Praskoveya,RU,44.74,44.2,29.57,86,0,4.97,clear sky
74,Hithadhoo,MV,-0.6,73.08,82.85,77,100,18.84,light rain
75,Ribeira Grande,PT,38.52,-28.7,66.06,89,87,12.1,overcast clouds
76,San Patricio,US,28.02,-97.52,75.99,94,40,6.93,scattered clouds
77,Juneau,US,58.3,-134.42,36.0,93,75,6.93,broken clouds
78,Hasaki,JP,35.73,140.83,66.0,45,0,6.93,clear sky
79,Skjervoy,NO,70.03,20.97,41.13,69,85,16.87,overcast clouds
80,Luderitz,NA,-26.65,15.16,57.18,91,76,5.12,broken clouds
81,Corrente,BR,-3.74,-43.34,74.55,88,0,3.18,clear sky
82,Georgetown,MY,5.41,100.34,86.0,74,20,2.24,heavy intensity rain
83,Katobu,ID,-4.94,122.53,92.3,50,21,3.91,light rain
84,Barrow,US,71.29,-156.79,19.4,79,90,16.11,overcast clouds
85,Dharchula,IN,29.85,80.53,68.9,22,0,3.56,clear sky
86,Lavrentiya,RU,65.58,-171.0,23.45,93,70,15.5,broken clouds
87,Hobart,AU,-42.88,147.33,69.01,37,40,12.75,scattered clouds
88,Carnarvon,AU,-24.87,113.63,75.2,69,40,18.34,scattered clouds
89,Grand Forks,US,47.94,-97.43,28.4,92,1,14.99,clear sky
90,Atherton,GB,53.52,-2.49,48.0,80,100,4.0,moderate rain
91,Kallifitos,GR,41.17,24.22,54.0,76,67,2.64,broken clouds
92,Te Anau,NZ,-45.42,167.72,60.57,61,100,9.31,moderate rain
93,Przhevalskoye,RU,55.51,31.85,28.78,96,100,5.73,overcast clouds
94,Tabligbo,TG,6.58,1.5,80.6,88,20,2.24,few clouds
95,Manaus,BR,-3.1,-60.02,80.6,88,20,0.85,few clouds
96,Victoria,HK,22.29,114.16,77.0,58,99,1.99,overcast clouds
97,Kirillov,RU,59.86,38.38,33.8,100,90,2.71,overcast clouds
98,Talara,PE,-4.58,-81.27,63.66,87,27,12.44,scattered clouds
99,Sioux Lookout,CA,50.1,-91.92,21.2,79,5,8.05,clear sky
100,Clyde River,CA,70.47,-68.59,14.0,72,90,21.92,overcast clouds
101,Nikolskoye,RU,59.7,30.79,33.01,93,75,2.24,broken clouds
102,Haines Junction,CA,60.75,-137.51,12.2,85,99,1.3,overcast clouds
103,Amalapuram,IN,16.58,82.02,80.6,65,42,4.7,scattered clouds
104,Anadyr,RU,64.75,177.48,6.8,84,75,11.18,broken clouds
105,Longyearbyen,SJ,78.22,15.64,33.8,74,90,13.87,light snow
106,Sitka,US,57.05,-135.33,37.4,86,75,5.7,broken clouds
107,Pathein,MM,16.78,94.73,83.1,68,0,11.59,clear sky
108,Nome,US,64.5,-165.41,21.2,62,1,10.29,clear sky
109,Cherskiy,RU,68.75,161.3,-8.09,88,100,6.38,overcast clouds
110,Yulara,AU,-25.24,130.99,105.8,5,0,13.87,clear sky
111,Gualaquiza,EC,-3.4,-78.55,64.18,89,100,1.74,light rain
112,Morehead,US,37.27,-87.18,37.4,80,1,2.98,clear sky
113,Cidreira,BR,-30.18,-50.21,69.08,94,0,11.81,clear sky
114,Khipro,PK,25.83,69.38,81.37,20,0,4.59,clear sky
115,Houma,US,29.6,-90.72,61.0,87,1,5.19,clear sky
116,Kushiro,JP,42.98,144.37,50.0,39,40,9.17,scattered clouds
117,Butaritari,KI,3.07,172.79,81.75,67,59,8.63,broken clouds
118,La Asuncion,VE,11.03,-63.86,69.8,100,97,12.75,overcast clouds
119,Mar Del Plata,AR,-38.0,-57.56,64.99,93,0,6.93,clear sky
120,Junction City,US,39.03,-96.83,42.8,52,1,10.29,clear sky
121,Balikpapan,ID,-1.27,116.83,84.2,89,40,2.24,moderate rain
122,Esperance,AU,-33.87,121.9,62.6,77,90,18.34,overcast clouds
123,Bandarbeyla,SO,9.49,50.81,76.19,75,82,18.61,broken clouds
124,Arraial Do Cabo,BR,-22.97,-42.03,73.15,94,100,4.81,light rain
125,Honningsvag,NO,70.98,25.97,38.93,78,26,28.48,scattered clouds
126,Saskylakh,RU,71.92,114.08,-8.77,90,83,1.88,broken clouds
127,Porangatu,BR,-13.44,-49.15,71.44,91,100,1.54,overcast clouds
128,Geraldton,AU,-28.77,114.6,71.6,68,90,13.87,overcast clouds
129,Uruzgan,AF,32.83,66.0,45.1,86,100,3.33,heavy intensity rain
130,Bonoua,CI,5.27,-3.6,77.0,94,40,2.24,scattered clouds
131,Pisco,PE,-13.7,-76.22,64.4,82,20,3.36,few clouds
132,Tangping,CN,22.03,111.93,81.0,37,91,5.97,overcast clouds
133,Bodden Town,KY,19.28,-81.25,82.4,78,20,9.17,few clouds
134,Unidos,PH,8.59,123.67,86.11,71,11,8.72,few clouds
135,Yerbogachen,RU,61.28,108.01,12.02,94,99,12.21,overcast clouds
136,Caravelas,BR,-17.71,-39.25,74.88,85,86,9.28,overcast clouds
137,Naze,JP,28.37,129.48,80.6,69,20,14.99,few clouds
138,Bredasdorp,ZA,-34.53,20.04,55.4,93,28,4.7,scattered clouds
139,Castro,BR,-24.79,-50.01,61.18,95,4,3.91,clear sky
140,Karibib,NA,-21.93,15.83,69.01,54,97,1.79,light rain
141,Hovd,MN,48.01,91.64,38.1,57,5,3.94,clear sky
142,Miri,MY,4.41,114.01,87.8,74,40,8.05,moderate rain
143,Souillac,MU,-20.52,57.52,73.4,94,75,3.36,shower rain
144,Namibe,AO,-15.2,12.15,69.78,80,34,9.37,scattered clouds
145,Chuy,UY,-33.7,-53.46,60.94,96,31,2.15,scattered clouds
146,Kemijarvi,FI,66.71,27.43,35.58,95,100,7.87,overcast clouds
147,Santa Maria,BR,-29.68,-53.81,71.6,83,0,10.29,clear sky
148,Hualmay,PE,-11.1,-77.61,62.17,86,49,7.65,scattered clouds
149,Provideniya,RU,64.38,-173.3,19.54,90,0,9.62,clear sky
150,Kaitangata,NZ,-46.28,169.85,68.95,43,86,5.68,overcast clouds
151,Grand-Santi,GF,4.25,-54.38,73.76,96,100,3.44,overcast clouds
152,Kodiak,US,57.79,-152.41,35.6,51,20,13.87,few clouds
153,Baculin,PH,7.45,126.58,86.65,64,75,8.5,light rain
154,Laguna,US,38.42,-121.42,53.6,87,90,5.82,mist
155,Hakkari,TR,37.58,44.17,32.56,86,0,2.8,clear sky
156,Arkadak,RU,51.93,43.5,32.83,95,100,6.15,overcast clouds
157,Devonport,AU,-41.17,146.35,63.0,59,72,5.01,broken clouds
158,Mount Gambier,AU,-37.83,140.77,62.6,59,90,10.29,overcast clouds
159,Gimli,CA,50.63,-96.99,32.0,93,7,17.22,clear sky
160,Pacatuba,BR,-3.98,-38.62,82.4,74,75,13.87,broken clouds
161,Takab,IR,36.4,47.11,34.52,86,0,3.4,clear sky
162,Wladyslawowo,PL,54.79,18.4,44.01,93,90,6.93,mist
163,Shingu,JP,33.73,135.98,68.0,49,20,10.29,few clouds
164,Pangnirtung,CA,66.15,-65.71,3.76,82,40,4.9,scattered clouds
165,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.75,84,76,8.93,broken clouds
166,Coquimbo,CL,-29.95,-71.34,57.2,82,5,3.36,clear sky
167,Ostrovnoy,RU,68.05,39.51,35.76,88,98,13.35,overcast clouds
168,Thompson,CA,55.74,-97.86,17.6,100,90,4.7,light snow
169,Lebu,CL,-37.62,-73.65,50.63,88,17,10.2,few clouds
170,Lompoc,US,34.64,-120.46,51.8,87,1,6.93,clear sky
171,Severo-Kurilsk,RU,50.68,156.12,43.61,92,99,18.01,light rain
172,Atbasar,KZ,51.8,68.33,23.31,97,100,13.27,light snow
173,Zhigansk,RU,66.77,123.37,9.72,96,91,3.89,overcast clouds
174,Strangnas,SE,59.38,17.03,46.4,93,94,6.93,mist
175,Upernavik,GL,72.79,-56.15,16.18,94,100,9.89,light snow
176,Bambous Virieux,MU,-20.34,57.76,77.0,94,75,3.36,shower rain
177,Abha,SA,18.22,42.51,55.4,62,0,0.25,clear sky
178,Kruisfontein,ZA,-34.0,24.73,60.01,85,0,3.0,clear sky
179,Arlit,NE,18.74,7.39,69.12,29,0,7.23,clear sky
180,Santa Teresa,VE,10.23,-66.66,71.01,92,100,1.36,overcast clouds
181,Chitungwiza,ZW,-18.01,31.08,60.01,90,34,3.0,scattered clouds
182,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,74,75,4.79,light shower snow
183,Yelovo,RU,57.05,54.92,11.61,95,70,6.11,snow
184,Black River,JM,18.03,-77.85,80.6,83,20,6.93,thunderstorm
185,Andenes,NO,69.31,16.12,39.99,70,1,3.36,clear sky
186,Itaunja,IN,27.08,80.92,68.0,82,0,4.36,mist
187,Osny,FR,49.06,2.06,53.01,87,0,1.12,clear sky
188,Otavi,NA,-19.65,17.33,70.47,63,100,3.49,light rain
189,Castro Verde,PT,37.7,-8.09,61.0,100,0,8.05,clear sky
190,Ancud,CL,-41.87,-73.82,48.2,81,75,5.82,broken clouds
191,Natchez,US,31.56,-91.4,57.2,87,1,4.56,clear sky
192,Belmonte,BR,-15.86,-38.88,75.2,83,0,5.82,clear sky
193,Oudtshoorn,ZA,-33.59,22.2,59.0,93,75,5.82,broken clouds
194,Aklavik,CA,68.22,-135.01,-4.0,83,0,4.7,clear sky
195,Salinopolis,BR,-0.61,-47.36,80.22,81,100,10.54,overcast clouds
196,Edd,ER,13.93,41.69,80.15,59,4,3.33,clear sky
197,Vao,NC,-22.67,167.48,75.11,80,0,8.7,clear sky
198,Puerto El Triunfo,SV,13.28,-88.55,77.0,88,0,2.24,clear sky
199,Saint Pete Beach,US,27.73,-82.74,73.4,94,1,8.05,clear sky
200,Campobasso,IT,41.63,14.58,52.0,92,4,2.24,clear sky
201,Ust-Nera,RU,64.57,143.2,-14.44,80,62,0.83,broken clouds
202,Jiazi,CN,22.88,116.07,69.17,77,100,21.43,overcast clouds
203,Bengkulu,ID,-3.8,102.27,85.86,65,71,5.32,broken clouds
204,Maumere,ID,-8.62,122.21,87.8,64,36,2.73,scattered clouds
205,Yar-Sale,RU,66.83,70.83,-4.14,91,0,5.08,clear sky
206,Marawi,PH,8.0,124.29,84.99,79,27,7.0,scattered clouds
207,Krasnovishersk,RU,60.41,57.08,5.95,93,0,3.09,clear sky
208,Brebes,ID,-6.87,109.04,89.17,59,14,5.06,few clouds
209,Riwaka,NZ,-41.08,173.0,72.0,41,0,4.0,clear sky
210,Asau,RO,46.43,26.4,37.0,97,0,3.62,clear sky
211,Morondava,MG,-20.28,44.28,75.6,61,0,5.3,clear sky
212,Kidal,ML,18.44,1.41,67.19,24,0,11.18,clear sky
213,Fairbanks,US,64.84,-147.72,15.8,92,90,2.19,light snow
214,Barcelos,PT,41.54,-8.62,57.2,82,75,10.29,broken clouds
215,Taunggyi,MM,20.78,97.03,74.88,62,0,1.52,clear sky
216,Isangel,VU,-19.55,169.27,84.2,70,20,5.82,few clouds
217,Faya,SA,18.39,42.45,55.4,62,0,0.83,clear sky
218,Meulaboh,ID,4.14,96.13,80.56,81,100,2.82,overcast clouds
219,Tautira,PF,-17.73,-149.15,82.4,74,20,10.29,few clouds
220,Broken Hill,AU,-31.95,141.43,84.2,16,0,11.41,clear sky
221,Pevek,RU,69.7,170.31,4.1,95,98,7.81,overcast clouds
222,Aljezur,PT,37.32,-8.8,61.0,96,96,1.01,overcast clouds
223,Oxford,GB,51.75,-1.26,50.0,81,100,11.41,overcast clouds
224,Manadhoo,MV,5.77,73.38,82.67,74,100,8.99,moderate rain
225,Lagoa,PT,39.05,-27.98,65.8,90,98,16.82,overcast clouds
226,Sovetskiy,RU,61.36,63.58,11.19,90,17,6.26,few clouds
227,Karratha,AU,-20.74,116.85,93.47,21,0,20.24,clear sky
228,Ponta Do Sol,PT,32.67,-17.1,69.8,88,40,9.17,scattered clouds
229,Phra Phutthabat,TH,14.73,100.8,82.0,49,29,5.01,light rain
230,Ilulissat,GL,69.22,-51.1,21.2,48,96,9.17,overcast clouds
231,Chiria,IN,22.3,85.27,79.02,51,0,4.9,clear sky
232,Palu,ID,-0.89,119.87,90.75,52,68,2.13,light rain
233,Quatre Cocos,MU,-20.21,57.76,77.0,94,75,3.36,shower rain
234,Talcahuano,CL,-36.72,-73.12,53.6,76,1,13.87,clear sky
235,Vardo,NO,70.37,31.11,37.24,82,33,27.58,scattered clouds
236,Cairns,AU,-16.92,145.77,89.01,58,18,9.17,few clouds
237,Leh,IN,34.17,77.58,34.84,53,86,5.82,overcast clouds
238,Riyadh,SA,24.69,46.72,62.6,67,0,3.36,clear sky
239,Sambava,MG,-14.27,50.17,77.54,85,91,1.61,light rain
240,Mafeteng,LS,-29.82,27.24,62.96,54,0,5.82,clear sky
241,Tanout,NE,14.97,8.89,71.01,28,0,13.58,clear sky
242,Mae Hong Son,TH,19.3,97.97,80.6,69,20,1.36,few clouds
243,Surt,LY,31.21,16.59,67.05,71,24,4.76,light rain
244,Tambovka,RU,50.1,128.05,35.6,47,0,6.71,clear sky
245,Fortuna,US,40.6,-124.16,48.2,100,75,1.41,broken clouds
246,Stephenville,US,32.22,-98.2,64.99,82,75,4.7,broken clouds
247,Abu Kamal,SY,34.45,40.92,56.19,46,22,0.74,few clouds
248,Bethel,US,41.37,-73.41,39.99,93,1,6.71,mist
249,Obidos,BR,-1.92,-55.52,76.57,88,68,2.73,moderate rain
250,Kamenka,RU,51.32,42.77,28.99,95,100,4.34,overcast clouds
251,Ahipara,NZ,-35.17,173.17,66.29,57,0,5.73,clear sky
252,La Ronge,CA,55.1,-105.28,15.8,92,100,3.36,overcast clouds
253,Cabo San Lucas,MX,22.89,-109.91,73.99,60,20,9.17,few clouds
254,Vestmannaeyjar,IS,63.44,-20.27,36.88,80,0,20.67,clear sky
255,Polis,CY,35.04,32.43,64.4,63,20,6.93,few clouds
256,Babra,IN,21.85,71.3,82.13,34,0,10.89,clear sky
257,Poso,ID,-1.4,120.75,87.69,58,68,5.03,light rain
258,Nantucket,US,41.28,-70.1,51.8,87,75,12.75,broken clouds
259,Okato,NZ,-39.2,173.88,64.99,80,63,13.0,broken clouds
260,Biltine,TD,14.53,20.92,69.64,24,5,13.91,clear sky
261,Galesong,ID,-5.32,119.37,87.8,58,20,2.24,few clouds
262,Saldanha,ZA,-33.01,17.94,62.6,67,15,3.36,few clouds
263,Polson,US,47.69,-114.16,37.0,64,63,11.99,broken clouds
264,Rundu,NA,-17.93,19.77,67.84,71,98,4.32,light rain
265,Puerto Escondido,MX,15.85,-97.07,80.6,74,75,3.56,broken clouds
266,Rodeo,US,38.03,-122.27,57.0,91,100,6.49,overcast clouds
267,Pirojpur,BD,22.57,89.98,81.75,56,0,8.75,clear sky
268,Buchanan,LR,5.88,-10.05,77.0,94,40,2.39,scattered clouds
269,Kalianget,ID,-7.05,113.93,87.91,60,0,7.99,clear sky
270,Airai,TL,-8.93,125.41,82.42,41,0,4.14,clear sky
271,Zeya,RU,53.75,127.27,24.04,92,100,4.23,overcast clouds
272,Kisoro,UG,-1.29,29.68,55.98,92,89,0.25,overcast clouds
273,Tura,IN,25.52,90.22,78.96,55,0,0.72,clear sky
274,Panacan,PH,9.25,118.41,91.4,66,20,9.17,few clouds
275,Port Elizabeth,ZA,-33.92,25.57,62.6,93,75,16.11,broken clouds
276,Xinqing,CN,48.23,129.5,39.87,65,0,8.52,clear sky
277,Torbay,CA,47.67,-52.73,37.99,80,75,5.82,broken clouds
278,Arona,ES,28.1,-16.68,73.99,68,75,4.7,broken clouds
279,Bac Lieu,VN,9.29,105.72,84.94,62,96,7.76,overcast clouds
280,Dickinson,US,29.46,-95.05,73.99,83,75,5.82,broken clouds
281,Falmouth,GB,50.15,-5.07,55.4,100,100,20.8,overcast clouds
282,Srednekolymsk,RU,67.45,153.68,-7.94,88,99,1.59,overcast clouds
283,Kavieng,PG,-2.57,150.8,84.63,76,46,11.72,scattered clouds
284,Alice Springs,AU,-23.7,133.88,104.0,10,0,10.29,clear sky
285,Saint-Philippe,RE,-21.36,55.77,78.8,74,90,10.29,overcast clouds
286,Olafsvik,IS,64.89,-23.71,33.53,87,9,19.15,clear sky
287,Aksarka,RU,66.56,67.8,-5.91,90,0,6.62,clear sky
288,Tocopilla,CL,-22.09,-70.2,61.43,59,5,6.58,clear sky
289,Daud Khel,PK,32.88,71.57,68.68,43,86,4.99,overcast clouds
290,Sidney,AU,-33.87,151.21,77.0,60,20,12.75,few clouds
291,Fomboni,KM,-12.28,43.74,79.9,74,59,1.39,light rain
292,Port Augusta,AU,-32.5,137.77,88.0,32,0,11.41,clear sky
293,East London,ZA,-33.02,27.91,60.8,82,0,2.24,clear sky
294,Sisimiut,GL,66.94,-53.67,13.37,90,65,9.35,broken clouds
295,Toora-Khem,RU,52.47,96.11,20.88,85,69,1.43,broken clouds
296,Maraba,BR,-5.37,-49.12,75.15,89,91,3.11,light rain
297,Okhotsk,RU,59.38,143.3,14.61,92,65,10.18,broken clouds
298,Qovlar,AZ,40.95,45.73,39.2,93,40,2.24,scattered clouds
299,Hennenman,ZA,-27.98,27.02,64.35,51,0,6.35,clear sky
300,Kyra,RU,49.58,111.98,33.91,81,65,6.04,broken clouds
301,Codrington,AU,-38.27,141.97,58.44,67,90,8.19,overcast clouds
302,Vestmanna,FO,62.16,-7.17,44.6,87,40,16.11,light rain
303,Manacapuru,BR,-3.3,-60.62,77.0,94,0,2.28,light rain
304,Eidfjord,NO,60.47,7.07,34.0,89,95,1.01,overcast clouds
305,Lodwar,KE,3.12,35.6,80.83,53,43,11.61,light rain
306,Cabedelo,BR,-6.98,-34.83,77.0,83,20,9.17,few clouds
307,Ayagoz,KZ,47.97,80.44,28.51,83,95,0.78,overcast clouds
308,Lagos,NG,6.58,3.75,77.65,89,100,2.51,overcast clouds
309,Jauja,PE,-11.78,-75.5,47.23,71,53,1.21,broken clouds
310,La Paz,BO,-16.5,-68.15,41.0,75,7,8.05,clear sky
311,Santiago Del Estero,AR,-27.8,-64.26,82.99,53,38,7.0,scattered clouds
312,Gallup,US,35.53,-108.74,44.6,45,1,11.41,clear sky
313,Guerrero Negro,MX,27.98,-114.06,63.36,72,0,11.39,clear sky
314,Along,IN,28.17,94.77,74.66,37,0,0.54,clear sky
315,Wanning,CN,18.8,110.4,74.7,91,100,22.19,moderate rain
316,Xining,CN,36.62,101.77,51.1,40,11,0.98,few clouds
317,Tigzirt,DZ,36.89,4.12,64.26,52,63,6.42,broken clouds
318,Bayevo,RU,53.28,80.77,28.27,83,91,8.93,overcast clouds
319,Walvis Bay,NA,-22.96,14.51,61.0,87,3,3.36,clear sky
320,Odweyne,SO,9.41,45.06,69.13,27,3,7.4,clear sky
321,Port Hedland,AU,-20.32,118.57,98.6,27,0,17.22,clear sky
322,Verkhnyaya Maksakovka,RU,61.63,50.97,15.8,85,90,6.71,overcast clouds
323,Klaksvik,FO,62.23,-6.59,44.6,87,34,16.11,scattered clouds
324,Aksu,CN,41.12,80.26,45.14,42,100,4.23,light rain
325,Luganville,VU,-15.53,167.17,86.0,70,40,9.17,scattered clouds
326,Axim,GH,4.87,-2.24,77.92,86,81,4.72,broken clouds
327,Sept-Iles,CA,50.2,-66.38,33.8,84,100,5.82,overcast clouds
328,Shimoda,JP,34.67,138.95,66.2,45,20,16.11,few clouds
329,Ingham,US,42.6,-84.38,32.0,74,40,4.7,scattered clouds
330,Kuppam,IN,12.75,78.37,75.06,81,62,11.92,broken clouds
331,Sikonge,TZ,-5.63,32.77,64.4,93,75,3.33,broken clouds
332,Morro Bay,US,35.37,-120.85,55.0,91,3,2.46,clear sky
333,Tumaco,CO,1.8,-78.82,74.57,82,97,8.39,overcast clouds
334,Leningradskiy,RU,69.38,178.42,7.0,90,76,11.52,broken clouds
335,Nizwa,OM,22.93,57.53,75.29,39,0,2.17,clear sky
336,Emerald,AU,-23.53,148.17,98.01,32,0,2.24,clear sky
337,Tadine,NC,-21.55,167.88,77.81,72,75,4.61,broken clouds
338,Pucallpa,PE,-8.38,-74.55,76.5,80,97,0.49,light rain
339,Heswall,GB,53.33,-3.1,48.2,87,100,11.41,moderate rain
340,Nha Trang,VN,12.25,109.18,89.6,55,20,9.17,light rain
341,Beibei,CN,29.83,106.43,69.8,37,0,6.71,clear sky
342,Kamyshin,RU,50.1,45.42,32.05,96,64,10.27,broken clouds
343,Svetlyy,RU,54.67,20.13,42.8,100,97,2.24,mist
344,Norman Wells,CA,65.28,-126.83,-4.0,76,75,4.7,light snow
345,Mandera,KE,3.94,41.87,78.08,76,22,9.84,few clouds
346,Kyabram,AU,-36.32,145.05,78.01,36,4,3.0,clear sky
347,Northam,GB,51.03,-4.22,55.99,94,100,10.0,overcast clouds
348,Romanovka,RU,51.74,42.75,33.01,95,100,4.99,overcast clouds
349,Constitucion,CL,-35.33,-72.42,52.21,86,13,7.99,few clouds
